id,category,mode,activity,scale,skill,Level,Descriptor
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,A1,"Can describe themselves, what they do and where they live."
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,A2,"Can describe their family, living conditions, educational background, present or most recent job."
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,B1,Can give straightforward descriptions on a variety of familiar subjects within their field of interest.
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,B2,"Can give clear, detailed descriptions on a wide range of subjects related to their field of interest."
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,C1,"Can give clear, detailed descriptions of complex subjects, integrating sub-themes and rounding off with an appropriate conclusion."
describing-experience,Communicative language activities,Production,Oral production,Sustained monologue: describing experience,speaking,C2,"Can give clear, smoothly flowing, elaborate and often memorable descriptions."
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,A1,Can write simple isolated phrases and sentences.
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,A2,"Can write a series of simple phrases and sentences linked with simple connectors like 'and', 'but' and 'because'."
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,B1,Can write straightforward connected texts on a range of familiar subjects within their field of interest.
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,B2,"Can write clear, detailed texts on a variety of subjects related to their field of interest, synthesising and evaluating information."
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,C1,"Can write clear, well-structured texts of complex subjects, underlining the relevant salient issues, expanding and supporting points of view."
overall-written-production,Communicative language activities,Production,Written production,Overall written production,writing,C2,"Can write clear, smoothly flowing, complex texts in an appropriate and effective style."
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,A1,"Can write simple phrases and sentences about themselves and imaginary people, where they live and what they do."
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,A2,Can write about everyday aspects of their environment in linked sentences.
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,B1,"Can write straightforward, detailed descriptions on a range of familiar subjects within their field of interest."
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,B2,"Can write clear, detailed descriptions of real or imaginary events and experiences."
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,C1,"Can write clear, detailed, well-structured and developed descriptions and imaginative texts in an assured, personal, natural style."
creative-writing,Communicative language activities,Production,Written production,Creative writing,writing,C2,"Can write clear, smoothly flowing, and fully engrossing stories and descriptions of experience in a style appropriate to the genre adopted."
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,A1,"Can interact in a simple way but communication is totally dependent on repetition at a slower rate, rephrasing and repair."
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,A2,Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,B1,Can exploit a wide range of simple language to deal with most situations likely to arise whilst travelling.
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,B2,"Can interact with a degree of fluency and spontaneity that makes regular interaction, and sustained relationships, quite possible."
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,C1,"Can express themselves fluently and spontaneously, almost effortlessly."
overall-oral-interaction,Communicative language activities,Interaction,Oral interaction,Overall oral interaction,speaking,C2,Has a good command of idiomatic expressions and colloquialisms with awareness of connotative levels of meaning.
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,A1,Can take part in a simple conversation of a basic factual nature on a predictable topic.
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,A2,Can handle very short social exchanges but is rarely able to understand enough to keep conversation going of their own accord.
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,B1,Can enter unprepared into conversations on familiar topics.
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,B2,Can engage in extended conversation on most general topics in a clearly participatory fashion.
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,C1,"Can use language flexibly and effectively for social purposes, including emotional, allusive and joking usage."
conversation,Communicative language activities,Interaction,Oral interaction,Conversation,speaking,C2,"Can converse comfortably and appropriately, unhampered by any linguistic limitations."
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,A1,No descriptors available.
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,A2,"Can discuss what to do, where to go and make arrangements to meet."
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,B1,Can generally follow the main points in an informal discussion with friends.
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,B2,"Can take an active part in informal discussion in familiar contexts, commenting and putting a point of view clearly."
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,C1,Can easily follow and contribute to complex interactions between third parties in group discussion.
informal-discussion,Communicative language activities,Interaction,Oral interaction,Informal discussion (with friends),speaking,C2,Can advise on or discuss sensitive issues without awkwardness.
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,A1,"Can understand questions and instructions addressed carefully and slowly to them and follow short, simple directions."
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,A2,"Can understand enough to manage simple, routine tasks without undue effort."
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,B1,"Can follow what is being said, though they may occasionally have to ask for repetition if the other people's contributions are rapid."
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,B2,Can understand detailed instructions reliably.
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,C1,Can relate their own contribution skilfully to those of other speakers.
goal-oriented-cooperation,Communicative language activities,Interaction,Oral interaction,Goal-oriented co-operation,speaking,C2,No descriptors available; see C1.
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,A1,Can ask people for things and give people things.
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,A2,Can ask for and provide everyday goods and services.
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,B1,"Can deal with most transactions likely to arise whilst travelling, arranging travel or accommodation."
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,B2,Can cope linguistically to negotiate a solution to a dispute like an undeserved fine.
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,C1,"Can express themselves with clarity and precision, using language flexibly and effectively."
transactions,Communicative language activities,Interaction,Oral interaction,Transactions to obtain goods and services,speaking,C2,No descriptors available; see C1.
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,A1,"Can understand questions and instructions addressed carefully and slowly and follow short, simple directions."
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,A2,Can communicate in simple and routine tasks using simple phrases to ask for and provide things.
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,B1,"Can exchange, check and confirm accumulated factual information on familiar routine and non-routine matters."
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,B2,Can understand and exchange complex information and advice on the full range of matters related to their occupational role.
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,C1,Can easily follow and contribute to complex interactions between third parties in group discussion.
information-exchange,Communicative language activities,Interaction,Oral interaction,Information exchange,speaking,C2,No descriptors available; see C1.
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,A1,Can ask for or pass on personal details in written form.
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,A2,"Can write short, simple formulaic notes relating to matters of immediate need."
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,B1,"Can convey information and ideas on abstract as well as concrete topics, check information, and ask about or explain problems with reasonable precision."
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,B2,"Can express news and views effectively in writing, and relate to those of others."
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,C1,"Can express themselves with clarity and precision, relating to the addressee flexibly and effectively."
overall-written-interaction,Communicative language activities,Interaction,Written interaction,Overall written interaction,writing,C2,No descriptors available; see C1.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,A1,Has a very basic range of simple expressions about personal details and needs of a concrete type.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,A2,Has sufficient vocabulary for the expression of basic communicative needs and for coping with simple survival needs.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,B1,Has a sufficient vocabulary to express themselves with some circumlocutions on most topics pertinent to everyday life.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,B2,Has a good range of vocabulary for matters connected to their field and most general topics.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,C1,Has a good command of a broad lexical repertoire allowing gaps to be readily overcome with circumlocutions.
vocabulary-range,Communicative language competences,Linguistic,Linguistic competence,General linguistic range / Vocabulary range,vocabulary,C2,Has a good command of a very broad lexical repertoire including idiomatic expressions and colloquialisms.
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,A1,No descriptors available.
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,A2,Can control a narrow repertoire dealing with concrete everyday needs.
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,B1,Shows good control of elementary vocabulary but major errors still occur when expressing more complex thoughts.
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,B2,"Lexical accuracy is generally high, though some confusion and incorrect word choice does occur without hindering communication."
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,C1,"Occasional minor slips, but no significant vocabulary errors."
vocabulary-control,Communicative language competences,Linguistic,Linguistic competence,Vocabulary control,vocabulary,C2,Consistently correct and appropriate use of vocabulary.
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,A1,Shows only limited control of a few simple grammatical structures and sentence patterns in a learnt repertoire.
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,A2,"Uses some simple structures correctly, but still systematically makes basic mistakes."
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,B1,Communicates with reasonable accuracy in familiar contexts; generally good control though with noticeable mother tongue influence.
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,B2,Shows a relatively high degree of grammatical control. Does not make mistakes which lead to misunderstanding.
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,C1,Consistently maintains a high degree of grammatical accuracy; errors are rare and difficult to spot.
grammatical-accuracy,Communicative language competences,Linguistic,Linguistic competence,Grammatical accuracy,grammar,C2,"Maintains consistent grammatical control of complex language, even while attention is otherwise engaged."
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,A1,Pronunciation of a very limited repertoire of learnt words and phrases can be understood with some effort by interlocutors used to dealing with speakers of the language group.
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,A2,"Pronunciation is generally clear enough to be understood, but conversational partners will need to ask for repetition from time to time."
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,B1,Pronunciation is clearly intelligible even if a foreign accent is sometimes evident and occasional mispronunciations occur.
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,B2,"Has acquired a clear, natural pronunciation and intonation."
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,C1,Can vary intonation and place sentence stress correctly in order to express finer shades of meaning.
phonological-control,Communicative language competences,Linguistic,Linguistic competence,Phonological control,speaking,C2,Can articulate virtually all of the sounds of the target language with clarity and precision.
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,A1,"Can copy familiar words and short phrases, e.g. simple signs or instructions, names of everyday objects, names of shops."
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,A2,Can copy short sentences on everyday subjects. Can write with reasonable phonetic accuracy short words that are in their oral vocabulary.
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,B1,"Can produce continuous writing which is generally intelligible throughout. Spelling, punctuation and layout are accurate enough to be followed most of the time."
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,B2,Can produce clearly intelligible continuous writing which follows standard layout and paragraphing conventions.
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,C1,"Layout, paragraphing and punctuation are consistent and helpful. Spelling is accurate, apart from occasional slips."
orthographic-control,Communicative language competences,Linguistic,Linguistic competence,Orthographic control,writing,C2,Writing is orthographically free of error.
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,A1,"Can establish basic social contact by using the simplest everyday polite forms of greetings and farewells; introductions; saying please, thank you, sorry, etc."
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,A2,"Can handle very short social exchanges, using everyday polite forms of greeting and address."
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,B1,"Can perform and respond to a wide range of language functions, using their most common exponents in a neutral register."
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,B2,"Can express themselves confidently, clearly and politely in a formal or informal register, appropriate to the situation."
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,C1,"Can recognise a wide range of idiomatic expressions and colloquialisms, appreciating register shifts."
sociolinguistic-appropriateness,Communicative language competences,Sociolinguistic,Sociolinguistic competence,Sociolinguistic appropriateness,speaking,C2,Has a good command of idiomatic expressions and colloquialisms with awareness of connotative levels of meaning.
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,A1,No descriptors available.
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,A2,Can adapt well-rehearsed memorised simple phrases to particular circumstances through limited lexical substitution.
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,B1,"Can adapt their expression to deal with less routine, even difficult situations."
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,B2,Can adjust what they say and the means of expressing it to the situation and the recipient and adopt a level of formality appropriate to the circumstances.
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,C1,Can modify their expression to express degrees of commitment or to highlight the focus of their communication.
flexibility,Communicative language competences,Pragmatic,Pragmatic competence,Flexibility,speaking,C2,"Shows great flexibility reformulating ideas in differing linguistic forms to give emphasis, differentiate or to eliminate ambiguity."
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,A1,Can link words or groups of words with very basic linear connectors like 'and' or 'then'.
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,A2,"Can link groups of words with simple connectors like 'and', 'but' and 'because'."
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,B1,"Can link a series of shorter, discrete simple elements into a connected, linear sequence of points."
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,B2,Can use a variety of linking words efficiently to mark clearly the relationships between ideas.
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,C1,"Can produce clear, smoothly flowing, well-structured text, showing controlled use of organisational patterns, connectors and cohesive devices."
coherence-cohesion,Communicative language competences,Pragmatic,Pragmatic competence,Coherence and cohesion,writing,C2,Can create coherent and cohesive text making full and appropriate use of a variety of organisational patterns.
